Date,Start,Max,Min,End,HammerC,Hammer Score,DojiC,Doji Score,Engulf Score,SMA14,UpperBB,LowerBB,BB Score,TP,SMA14 TP,StdDev TP,CC1 cal,CCI Score,CCI Grad,RNN PL1,RNN PL2B,RNN PL1B,RNN PL2S,RNN PL1S,RNN PL2,Alert_Green,Alert_Red,Hammer_0,Hammer_Green Hammer,Hammer_Red Hammer,Doji_0,Doji_Green Doji,Doji_Red Doji,Green Engulf_0,Green Engulf_Green Engulf,Green Engulf_Red Engulf,BB Decision_0,BB Decision_Above,BB Decision_Below,Cci Over_0,Cci Over_Below,Cci Over_Over,FailureMode_Fail,FailureMode_Pass
2005-02-01,1.9187,1.92035,1.91835,1.91925,1.222222222,0,0.275,0,1,1.9282099999999998,1.94523,1.9111900000000002,0,1.9193200000000001,1.9282099999999998,0.00777,-76.32055098,0,16.71,-149.0,-0.0358,0.0,0.0,0.0,-358.0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
2005-03-01,1.91925,1.91975,1.8982,1.90435,0.399350649,0,0.6914153129999999,0,-1,1.9254099999999998,1.9439,1.9069200000000002,2,1.90743,1.9256400000000002,0.00778,-156.00448930000002,2,-79.68,-209.0,-0.01895,0.0,0.0,0.0,-189.5,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0
2005-04-01,1.90435,1.90845,1.8781,1.88345,0.214,0,0.6886326190000001,0,-1,1.92196,1.9484599999999999,1.89547,2,1.89,1.9226599999999998,0.0099,-219.93608909999998,2,-63.93,19.5,0.0,0.00195,0.0,0.0,19.5,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1
2005-05-01,1.88345,1.8898,1.8731,1.8854,0.357723577,0,0.116766467,1,0,1.91802,1.9476900000000001,1.88835,0,1.88277,1.9185299999999998,0.0116,-205.4361951,2,14.5,-92.5,-0.0143,0.0,0.0,0.0,-143.0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0
2005-06-01,1.8854,1.8856,1.8699,1.87615,0.661375661,0,0.589171975,0,0,1.9131099999999999,1.94537,1.88085,2,1.87722,1.9136900000000001,0.013909999999999999,-174.85019690000001,2,30.59,-50.5,-0.00485,0.0,0.0,0.0,-48.5,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0
2005-07-01,1.87615,1.8865,1.8647,1.8711,0.415584416,0,0.23165137600000002,0,0,1.90903,1.9456799999999999,1.8723900000000002,2,1.8741,1.90983,0.0168,-141.7509269,0,33.1,2.0,0.0,0.0002,0.0,0.0,2.0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1
2005-09-01,1.8711,1.8717,1.8692,1.8713,0.19047619,0,0.08,1,0,1.90598,1.9464299999999999,1.86553,0,1.87073,1.90674,0.01984,-120.99032140000001,0,20.76,57.0,0.0,0.0057,0.0,0.0,57.0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
2005-10-01,1.8713,1.8794,1.8711,1.8769999999999998,0.406779661,0,0.686746988,0,1,1.90261,1.94406,1.86117,0,1.8758299999999999,1.9032900000000001,0.02129,-85.94353134,0,35.05,14.0,0.0,0.0014,0.0,0.0,14.0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
2005-11-01,1.8769999999999998,1.8823,1.8752,1.8784,1.21875,0,0.19718309899999997,0,0,1.8993400000000003,1.9407,1.85798,0,1.87863,1.9000299999999999,0.02156,-66.15871614,0,19.78,123.5,0.0,0.01235,0.0,0.0,123.5,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
2005-12-01,1.8784,1.8939,1.8698,1.89075,0.150357995,0,0.5124481329999999,0,1,1.8962,1.9336900000000001,1.8587099999999999,0,1.8848200000000002,1.8964599999999998,0.01966,-39.49848322,0,26.66,-101.0,-0.02015,0.0,0.0,0.0,-201.5,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
