loan_amnt,int_rate,grade,emp_title,emp_length,home_ownership,annual_inc,loan_status,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc
10000,11.44,B,Marketing,10+ years,RENT,117000,Fully Paid,26.24,Jun-90,16,0,36369,41.8,25
8000,11.99,B,Credit analyst ,4 years,MORTGAGE,65000,Fully Paid,22.05,Jul-04,17,0,20131,53.3,27
15600,10.49,B,Statistician,< 1 year,RENT,43057,Fully Paid,12.79,Aug-07,13,0,11987,92.2,26
7200,6.49,A,Client Advocate,6 years,RENT,54000,Fully Paid,2.6,Sep-06,6,0,5472,21.5,13
24375,17.27,C,Destiny Management Inc.,9 years,MORTGAGE,55000,Charged Off,33.95,Mar-99,13,0,24584,69.8,43
20000,13.33,C,HR Specialist,10+ years,MORTGAGE,86788,Fully Paid,16.31,Jan-05,8,0,25757,100.6,23
18000,5.32,A,Software Development Engineer,2 years,MORTGAGE,125000,Fully Paid,1.36,Aug-05,8,0,4178,4.9,25
13000,11.14,B,Office Depot,10+ years,RENT,46000,Fully Paid,26.87,Sep-94,11,0,13425,64.5,15
18900,10.99,B,Application Architect,10+ years,RENT,103000,Fully Paid,12.52,Jun-94,13,0,18637,32.9,40
26300,16.29,C,Regado Biosciences,3 years,MORTGAGE,115000,Fully Paid,23.69,Dec-97,13,0,22171,82.4,37
10000,13.11,B,Sodexo,2 years,RENT,95000,Fully Paid,12.04,Dec-90,5,1,4702,64.4,26
35000,14.64,C,Director Bureau of Equipment Inventory,8 years,MORTGAGE,130000,Fully Paid,12.19,May-84,30,0,81263,18.7,61
7500,9.17,B,Social Work/Care Manager,7 years,OWN,55000,Fully Paid,28.21,Apr-95,13,0,17838,54.9,35
35000,12.29,C,Regional Counsel,10+ years,MORTGAGE,157000,Fully Paid,29.39,Jan-97,17,0,113091,94.9,27
25975,6.62,A,Pullman Regional Hospital,9 years,MORTGAGE,65000,Fully Paid,9.18,May-01,9,0,5140,7.2,35
18000,8.39,A,firefighter,8 years,MORTGAGE,45000,Fully Paid,12.81,Sep-94,5,0,551,11.7,23
32350,21.98,E,Comcast Corporate office,10+ years,MORTGAGE,72000,Fully Paid,18.08,Mar-82,16,0,23603,78.4,22
11200,12.29,C,principal,10+ years,MORTGAGE,81000,Fully Paid,12.87,Sep-96,6,1,5874,54.9,20
34000,7.9,A,Pilot,10+ years,RENT,130580,Fully Paid,25.4,Jan-90,16,0,8767,11.9,36
20000,6.97,A,Registered Nurse,7 years,MORTGAGE,85000,Fully Paid,18.8,Mar-00,15,0,24195,55.7,38
9200,6.62,A,Personal Trainer,< 1 year,RENT,65000,Fully Paid,10.81,Jan-06,12,0,6448,22.9,23
7350,13.11,B,Francis Howell School District,10+ years,MORTGAGE,54800,Fully Paid,7.47,Mar-99,10,0,3240,37.2,36
4200,6.99,A,midstate steel llc,5 years,OWN,24000,Fully Paid,4.8,Oct-06,6,0,0,0,7
20000,8.39,A,Office Manager,10+ years,OWN,55000,Fully Paid,9.23,Jan-03,9,0,21497,43.9,18
5000,15.61,D,Operations Manager,5 years,RENT,75000,Fully Paid,13.58,May-08,9,0,3120,19.1,26
6000,11.36,B,CSU Monterey Bay,2 years,RENT,46680,Charged Off,6.56,Oct-03,9,0,4370,40.1,10
8400,13.35,C,Bartender,6 years,RENT,35000,Charged Off,23.08,Jun-04,6,0,6953,74.8,17
23050,12.12,B,Anheuser-Busch ,3 years,RENT,80000,Fully Paid,25.47,Jan-99,18,0,26693,24.6,23
15000,9.99,B,Teacher,10+ years,MORTGAGE,79000,Fully Paid,17.27,Apr-94,13,0,13658,56.7,25
20000,8.19,A,Sr. Business Analyst,10+ years,MORTGAGE,87000,Fully Paid,15.32,Mar-00,15,0,26330,56.1,29
13200,18.75,D,"Medtronic, Inc.",10+ years,RENT,71000,Fully Paid,29.54,Apr-98,9,0,30464,72.4,35
4600,12.29,C,Stocker,5 years,RENT,29400,Fully Paid,29.63,Jul-07,12,0,10112,65.7,17
3000,6.03,A,American Heart Association,1 year,OWN,64000,Fully Paid,3.81,Apr-02,6,0,4912,13.4,18
20000,12.29,C,Senior Software Engineer,3 years,RENT,95000,Fully Paid,11.82,Oct-07,11,0,16498,54.1,17
12725,14.99,C,dealer,10+ years,RENT,43000,Fully Paid,28.8,Jun-04,10,0,10264,71.3,16
