Date,Start,Max,Min,End,Volume,R1,S1,R2,S2,R3,S3,TypPr,SMA15,EMA15,SMA30,EMA30,StDev15,UppB15,LowB15,StDev30,UppB30,LowB30,MDev15,CCI15,Grad15,ROC15,MDev30,CCI30,Y1NexD,Y2SkpD,Y3Skp3D
1993.05.12,1.537,1.5445,1.529,1.5338,2781,1.54254,1.52704,1.55127,1.52027,1.55804,1.51154,1.53577,,,,,,,,,,,,,,,,,0,0,0
1993.05.13,1.5328,1.536,1.518,1.5225,2571,1.533,1.515,1.5435,1.5075,1.551,1.497,1.5255,,,,,,,,,,,,,,,,,1,0,0
1993.05.14,1.5228,1.5415,1.52,1.5387,2711,1.5468,1.5253,1.5549,1.5119,1.5683,1.5038,1.5334,,,,,,,,,,,,,,,,,0,0,0
1993.05.17,1.5365,1.546,1.5309,1.5355,2921,1.54404,1.52894,1.55257,1.52237,1.55914,1.51384,1.53747,,,,,,,,,,,,,,,,,1,0,0
1993.05.18,1.535,1.538,1.5237,1.5365,2711,1.54176,1.52746,1.54703,1.51843,1.55606,1.51316,1.53273,,,,,,,,,,,,,,,,,1,0,0
1993.05.19,1.535,1.5482,1.5328,1.5432,2261,1.55,1.5346,1.5568,1.526,1.5654,1.5192,1.5414,,,,,,,,,,,,,,,,,1,0,1
1993.05.20,1.5425,1.5603,1.5383,1.5565,3001,1.5651,1.5431,1.5737,1.5297,1.5871,1.5211,1.5517,,,,,,,,,,,,,,,,,0,1,1
1993.05.21,1.5548,1.5592,1.539,1.5425,2811,1.5548,1.5346,1.5671,1.5267,1.575,1.5144,1.5469,,,,,,,,,,,,,,,,,0,1,0
1993.05.24,1.54,1.545,1.5289,1.5365,2871,1.5447,1.5286,1.5529,1.5207,1.5608,1.5125,1.5368,,,,,,,,,,,,,,,,,1,0,0
1993.05.25,1.5385,1.547,1.5345,1.542,2151,1.54784,1.53534,1.55367,1.52867,1.56034,1.52284,1.54117,,,,,,,,,,,,,,,,,1,0,0
1993.05.26,1.542,1.5505,1.541,1.5472,1381,1.55146,1.54196,1.55573,1.53673,1.56096,1.53246,1.54623,,,,,,,,,,,,,,,,,1,0,0
1993.05.27,1.5453,1.565,1.5425,1.562,2831,1.5705,1.548,1.579,1.534,1.593,1.5255,1.5565,,,,,,,,,,,,,,,,,0,0,1
1993.05.28,1.561,1.568,1.5535,1.5607,2871,1.56796,1.55346,1.57523,1.54623,1.58246,1.53896,1.56073,,,,,,,,,,,,,,,,,1,1,1
1993.05.31,1.5605,1.563,1.556,1.561,1351,1.564,1.557,1.567,1.553,1.571,1.55,1.56,,,,,,,,,,,,,,,,,0,1,1
1993.06.01,1.5613,1.567,1.546,1.5555,3621,1.56634,1.54534,1.57717,1.53517,1.58734,1.52434,1.55617,1.54416,1.54416,,,0.011,1.56528,1.52305,,,,0.00921,86.87,,,,,0,1,1
1993.06.02,1.5544,1.556,1.5364,1.54,2481,1.55186,1.53226,1.56373,1.52453,1.57146,1.51266,1.54413,1.54472,1.54416,,,0.01,1.56535,1.52409,,,,0.00869,-4.52,-91.39,,,,1,1,1
1993.06.03,1.5403,1.5501,1.537,1.5501,1641,1.55446,1.54136,1.55883,1.53263,1.56756,1.52826,1.54573,1.54607,1.54436,,,0.009,1.56396,1.52818,,,,0.00743,-3.03,1.49,92.87,,,0,1,1
1993.06.04,1.549,1.5505,1.506,1.5085,4851,1.53734,1.49284,1.56617,1.47717,1.58184,1.44834,1.52167,1.54529,1.54152,,,0.01,1.56611,1.52447,,,,0.00822,-191.57,-188.54,-190.02,,,1,1,0
1993.06.07,1.5063,1.5268,1.506,1.5268,2111,1.53374,1.51294,1.54067,1.49907,1.55454,1.49214,1.51987,1.54412,1.53881,,,0.012,1.56828,1.51995,,,,0.00947,-170.62,20.94,209.48,,,0,0,1
1993.06.08,1.5253,1.5265,1.5135,1.5205,2121,1.52684,1.51384,1.53317,1.50717,1.53984,1.50084,1.52017,1.54328,1.53648,,,0.013,1.56973,1.51683,,,,0.01048,-147.02,23.61,2.66,,,0,0,0
1993.06.09,1.5195,1.527,1.5069,1.5152,3591,1.52584,1.50574,1.53647,1.49627,1.54594,1.48564,1.51637,1.54161,1.53397,,,0.015,1.57129,1.51193,,,,0.01248,-134.81,12.21,-11.4,,,1,0,0
1993.06.10,1.5137,1.5325,1.507,1.5305,3421,1.53966,1.51416,1.54883,1.49783,1.56516,1.48866,1.52333,1.53972,1.53264,,,0.015,1.57019,1.50925,,,,0.01335,-81.83,52.98,40.77,,,0,0,1
1993.06.11,1.5293,1.5405,1.5185,1.5215,3621,1.53516,1.51316,1.54883,1.50483,1.55716,1.49116,1.52683,1.53838,1.53191,,,0.015,1.56923,1.50753,,,,0.01382,-55.71,26.12,-26.86,,,1,1,1
1993.06.14,1.519,1.533,1.519,1.5285,1851,1.53466,1.52066,1.54083,1.51283,1.54866,1.50666,1.52683,1.53772,1.53128,,,0.016,1.5691,1.50633,,,,0.01453,-49.94,5.77,-20.35,,,0,1,1
1993.06.15,1.5275,1.5355,1.514,1.5165,3201,1.53,1.5085,1.5435,1.5005,1.5515,1.487,1.522,1.53644,1.53012,,,0.016,1.5687,1.50417,,,,0.01526,-63.08,-13.14,-18.91,,,0,1,1
1993.06.16,1.5155,1.52,1.498,1.5062,3471,1.51814,1.49614,1.53007,1.48607,1.54014,1.47414,1.50807,1.53389,1.52736,,,0.017,1.56859,1.49919,,,,0.01599,-107.69,-44.61,-31.47,,,1,1,1
1993.06.17,1.5055,1.5187,1.4985,1.514,3191,1.5223,1.5021,1.5306,1.4902,1.5425,1.4819,1.5104,1.53082,1.52524,,,0.017,1.56513,1.49651,,,,0.01502,-90.62,17.07,61.69,,,0,1,1
1993.06.18,1.5142,1.517,1.492,1.4975,3331,1.51234,1.48734,1.52717,1.47717,1.53734,1.46234,1.50217,1.52692,1.52236,,,0.017,1.56003,1.4938,,,,0.01312,-125.79,-35.17,-52.25,,,0,1,1
1993.06.21,1.494,1.498,1.4799,1.4885,3071,1.4977,1.4796,1.5069,1.4707,1.5158,1.4615,1.4888,1.52217,1.51816,,,0.017,1.55537,1.48897,,,,0.012,-185.34,-59.55,-24.38,,,0,1,1
1993.06.22,1.4883,1.4905,1.474,1.4778,2251,1.48754,1.47104,1.49727,1.46427,1.50404,1.45454,1.48077,1.51714,1.51349,1.53065,1.53065,0.017,1.55105,1.48323,0.02,1.56974,1.49156,0.01284,-188.89,-3.55,56,0.01576,-153.89,0,1,0
1993.06.23,1.478,1.481,1.467,1.4735,2351,1.48066,1.46666,1.48783,1.45983,1.49466,1.45266,1.47383,1.51246,1.50853,1.52859,1.52687,0.018,1.54944,1.47547,0.022,1.57261,1.48457,0.01476,-174.45,14.45,18,0.01748,-147.28,0,1,0
1993.06.24,1.472,1.4761,1.4637,1.469,2181,1.4755,1.4631,1.482,1.4572,1.4879,1.4507,1.4696,1.50738,1.50366,1.52673,1.52305,0.019,1.54558,1.46918,0.024,1.57558,1.47787,0.01623,-155.18,19.27,4.82,0.01936,-130.1,1,0,0
1993.06.25,1.4683,1.4835,1.467,1.4762,2511,1.48414,1.46764,1.49207,1.45907,1.50064,1.45114,1.47557,1.50431,1.50015,1.5248,1.51988,0.02,1.54477,1.46385,0.026,1.5769,1.47269,0.01801,-106.36,48.81,29.54,0.02097,-91.36,1,0,0
1993.06.28,1.4785,1.4975,1.475,1.4959,2761,1.50394,1.48144,1.51197,1.46697,1.52644,1.45894,1.48947,1.50228,1.49882,1.5232,1.51785,0.02,1.54246,1.4621,0.027,1.57658,1.46982,0.0181,-47.19,59.17,10.35,0.02174,-39.3,1,0,0
1993.06.29,1.4954,1.5155,1.4894,1.5123,3531,1.52206,1.49596,1.53183,1.47963,1.54816,1.46986,1.50573,1.50132,1.49968,1.5223,1.51705,0.02,1.54042,1.46222,0.027,1.57592,1.46868,0.01732,17,64.19,5.02,0.022,13.38,0,0,1
1993.06.30,1.512,1.5135,1.4885,1.4908,2881,1.5067,1.4817,1.5226,1.4726,1.5317,1.4567,1.4976,1.50007,1.49942,1.52084,1.51575,0.019,1.53835,1.46178,0.027,1.57468,1.46699,0.01664,-9.88,-26.88,-91.07,0.02222,-7.4,1,1,0
1993.07.01,1.4898,1.5175,1.4867,1.515,3641,1.5261,1.4953,1.5372,1.4756,1.5569,1.4645,1.5064,1.49894,1.50029,1.51933,1.51513,0.018,1.53537,1.46251,0.026,1.57216,1.4665,0.01559,31.91,41.79,68.67,0.02177,22.86,0,0,1
1993.07.02,1.515,1.5255,1.5055,1.507,3201,1.51984,1.49984,1.53267,1.49267,1.53984,1.47984,1.51267,1.49799,1.50184,1.51819,1.51496,0.017,1.53214,1.46384,0.026,1.57005,1.46632,0.01471,66.5,34.59,-7.19,0.02115,46.26,1,1,1
1993.07.05,1.508,1.5145,1.5045,1.5105,1751,1.51516,1.50516,1.51983,1.49983,1.52516,1.49516,1.50983,1.49686,1.50284,1.51729,1.51462,0.016,1.52811,1.46561,0.026,1.56877,1.46581,0.01375,62.9,-3.6,-38.2,0.0208,41.57,0,1,1
1993.07.06,1.5095,1.513,1.5015,1.504,1751,1.51084,1.49934,1.51767,1.49467,1.52234,1.48784,1.50617,1.4958,1.50326,1.51612,1.51406,0.014,1.52456,1.46705,0.025,1.56696,1.46528,0.01291,53.53,-9.37,-5.77,0.02032,34,0,1,1
1993.07.07,1.503,1.5077,1.49,1.4955,2791,1.50546,1.48776,1.51543,1.48003,1.52316,1.47006,1.49773,1.49512,1.50257,1.5145,1.51297,0.014,1.52315,1.46708,0.025,1.56449,1.46452,0.01235,14.13,-39.4,-30.03,0.01982,8.81,1,1,0
1993.07.08,1.4942,1.4995,1.489,1.497,1821,1.50134,1.49084,1.50567,1.48467,1.51184,1.48034,1.49517,1.4941,1.50164,1.51246,1.51178,0.013,1.52092,1.46728,0.024,1.56038,1.46454,0.01154,6.16,-7.96,31.44,0.0188,3.78,0,1,0
1993.07.09,1.495,1.499,1.4765,1.48,3001,1.49384,1.47134,1.50767,1.46267,1.51634,1.44884,1.48517,1.49297,1.49958,1.50994,1.51001,0.013,1.51977,1.46617,0.023,1.55533,1.46455,0.01168,-44.54,-50.7,-42.73,0.0178,-29.21,0,0,0
