,country,alcohol,deaths,heart,liver
0,Australia,2.5,785,211,15.3000001907349
1,Austria,3.9000000953674303,863,167,45.5999984741211
2,Belg/Lux,2.9000000953674303,883,131,20.7000007629395
3,Canada,2.4000000953674303,793,191,16.3999996185303
4,Denmark,2.9000000953674303,971,220,23.899999618530302
5,Finland,0.8000000119209291,970,297,19.0
6,France,9.10000038146973,751,71,37.9000015258789
7,Iceland,0.8000000119209291,743,211,11.1999998092651
8,Ireland,0.699999988079071,1000,300,6.5
9,Israel,0.6000000238418579,834,183,13.6999998092651
10,Italy,7.900000095367429,775,107,42.2000007629395
11,Japan,1.5,680,36,23.2000007629395
12,Netherlands,1.79999995231628,773,167,9.19999980926514
13,New Zealand,1.89999997615814,916,266,7.699999809265139
14,Norway,0.8000000119209291,806,227,12.1999998092651
15,Spain,6.5,724,86,36.4000015258789
16,Sweden,1.60000002384186,743,207,11.1999998092651
17,Switzerland,5.800000190734861,693,115,20.2999992370605
18,UK,1.29999995231628,941,285,10.3000001907349
19,US,1.20000004768372,926,199,22.100000381469698
20,West Germany,2.70000004768372,861,172,36.7000007629395
